"","Gene_name","log2FoldChange","padj"
"ENSG00000162924","ENSG00000162924",-3.34008233477808,2.37459624613584e-27
"ENSG00000164011","ENSG00000164011",3.49092797952344,0.00652817561602448
"ENSG00000164683","ENSG00000164683",-8.59382032824993,0.000457360584156483
"ENSG00000165030","ENSG00000165030",-5.36676101452393,1.00643380475401e-34
"ENSG00000165244","ENSG00000165244",4.81165885049834,1.3241301795295e-09
"ENSG00000166949","ENSG00000166949",-7.77571249946792,1.80292727298125e-92
"ENSG00000167034","ENSG00000167034",-9.17954383960888,7.46907117559744e-07
"ENSG00000167635","ENSG00000167635",2.99524968952249,2.41365076025449e-09
"ENSG00000168310","ENSG00000168310",2.63964478562216,2.07622557731472e-07
"ENSG00000168661","ENSG00000168661",7.10351427654172,0.00281114490414352
"ENSG00000169155","ENSG00000169155",-3.96497628284326,1.98795059396347e-27
"ENSG00000169740","ENSG00000169740",2.96573789737423,0.000912160750199336
"ENSG00000170345","ENSG00000170345",-6.51905558744228,2.27831426109874e-73
"ENSG00000170684","ENSG00000170684",-2.48531539135941,0.0251075962197759
"ENSG00000171223","ENSG00000171223",-4.09611731975334,7.48788609481305e-11
"ENSG00000171604","ENSG00000171604",-2.06644049903956,0.00690231563641086
"ENSG00000171791","ENSG00000171791",1.94344289151386,0.0135499445174966
"ENSG00000172059","ENSG00000172059",-3.03271697330306,3.57291257960708e-13
"ENSG00000172216","ENSG00000172216",-2.34860806985127,0.0132686516277171
"ENSG00000172845","ENSG00000172845",-1.7940686784636,0.00127524078633482
"ENSG00000173039","ENSG00000173039",-1.86736487685502,0.0129296094479491
"ENSG00000173575","ENSG00000173575",-2.87966552397798,2.33728900075987e-05
"ENSG00000175197","ENSG00000175197",-4.02064050210439,2.43521405260865e-09
"ENSG00000175592","ENSG00000175592",-3.68765993824442,1.65574660640577e-07
"ENSG00000176842","ENSG00000176842",-6.75525450285933,0.0381909530024963
"ENSG00000177374","ENSG00000177374",-12.6553332140117,1.69193625865455e-23
"ENSG00000177606","ENSG00000177606",-3.40033201645005,0.0177659212456469
"ENSG00000178573","ENSG00000178573",3.54052145834407,3.42645121675109e-13
"ENSG00000179094","ENSG00000179094",-4.75801492878831,2.06244679718038e-15
"ENSG00000179388","ENSG00000179388",-5.17465291727034,4.90733984491411e-07
"ENSG00000179456","ENSG00000179456",-2.55803752137231,0.00143703311761094
"ENSG00000180530","ENSG00000180530",-3.33017714883942,6.95579436478432e-17
"ENSG00000180787","ENSG00000180787",2.89496008320828,0.0108604405399446
"ENSG00000180884","ENSG00000180884",3.78633914377223,0.00109649583134575
"ENSG00000181315","ENSG00000181315",2.40395488186372,0.0115143663182451
"ENSG00000183309","ENSG00000183309",2.149027464182,0.00104573141797374
"ENSG00000183621","ENSG00000183621",3.42027712334218,6.02327709431856e-18
"ENSG00000185499","ENSG00000185499",-9.17768893827051,0.00224936849561567
"ENSG00000185507","ENSG00000185507",-3.96824099066811,1.61990649577503e-08
"ENSG00000186026","ENSG00000186026",3.6661888252333,0.0254057379924196
"ENSG00000186766","ENSG00000186766",-7.84597616822219,0.00453820244838756
"ENSG00000187098","ENSG00000187098",3.81421956443088,4.61702646274727e-13
"ENSG00000187607","ENSG00000187607",2.68766101864571,0.012876642930747
"ENSG00000187626","ENSG00000187626",3.58844207920604,0.00326585253865022
"ENSG00000187801","ENSG00000187801",7.44996874723729,0.000257848400740941
"ENSG00000188171","ENSG00000188171",6.32444198777777,0.0002091451841079
"ENSG00000188290","ENSG00000188290",-10.9591478551162,0.00170050767927983
"ENSG00000188321","ENSG00000188321",5.06999350092112,9.17641907042513e-11
"ENSG00000196843","ENSG00000196843",-2.20754423509743,0.00186321647782038
"ENSG00000196867","ENSG00000196867",4.82028391631555,3.01388547151471e-06
"ENSG00000197050","ENSG00000197050",3.85059573404754,0.0068502885278932
"ENSG00000197362","ENSG00000197362",4.89161099863726,1.00203533499814e-05
"ENSG00000197483","ENSG00000197483",-2.4534648949022,0.00480491920533951
"ENSG00000197951","ENSG00000197951",3.39482406284342,0.00298226729603332
"ENSG00000198105","ENSG00000198105",3.20617277468504,0.00988380734179438
"ENSG00000198182","ENSG00000198182",6.45834450560572,0.000124918754252299
"ENSG00000198346","ENSG00000198346",3.58176373807372,0.00157561694516811
"ENSG00000198538","ENSG00000198538",6.1679435081353,1.64696940249175e-14
"ENSG00000198900","ENSG00000198900",-2.228901749323,5.92158624903593e-08
"ENSG00000205189","ENSG00000205189",-3.72773104198624,1.34197163101316e-08
"ENSG00000213588","ENSG00000213588",4.33385479070173,0.000360499166387277
"ENSG00000221869","ENSG00000221869",-4.65895965208084,2.02902999466634e-56
"ENSG00000221923","ENSG00000221923",3.64743199708034,0.000169101061729039
"ENSG00000228623","ENSG00000228623",-3.1197950347263,0.000304524551729111
"ENSG00000244405","ENSG00000244405",3.48724692823978,0.00322926624086945
"ENSG00000254004","ENSG00000254004",3.59722011307707,0.000143407293458802
"ENSG00000256294","ENSG00000256294",3.62215814059516,0.0111635873697652
"ENSG00000256771","ENSG00000256771",3.2194267386298,0.0111154036709622
"ENSG00000269404","ENSG00000269404",-5.90843114883504,1.43358666647632e-05
"ENSG00000276043","ENSG00000276043",5.11379332574761,6.19140131190696e-19
